Designator,Mid X,Mid Y,Layer,Rotation
C1,229.2985,-251.42825,bottom,180
C2,238.1885,-253.52375,bottom,270
C3,226.7585,-261.33425,bottom,180
C4,238.1885,-259.68325,bottom,90
C5,221.0435,-256.12725,bottom,180
C6,221.0435,-258.15925,bottom,180
C7,231.9655,-262.73125,bottom,180
D1,188.11875,-259.55625,bottom,90
D2,164.30625,-185.7375,bottom,90
D3,170.65625,-203.2,bottom,90
D4,175.41875,-222.25,bottom,90
D5,184.94375,-241.3,bottom,90
D6,144.4625,-259.55625,bottom,90
D7,167.48125,-185.7375,bottom,90
D8,173.83125,-203.2,bottom,90
D9,178.59375,-222.25,bottom,90
D10,344.4875,-259.55625,bottom,90
D11,168.275,-259.55625,bottom,90
D12,180.18125,-183.35625,bottom,90
D13,189.70625,-202.40625,bottom,90
D14,194.46875,-221.45625,bottom,90
D15,188.11875,-241.3,bottom,90
D16,184.94375,-259.55625,bottom,90
D17,392.90625,-184.15,bottom,90
D18,199.23125,-183.35625,bottom,90
D19,208.75625,-202.40625,bottom,90
D20,213.51875,-221.45625,bottom,90
D21,203.99375,-240.50625,bottom,90
D22,382.5875,-240.50625,bottom,90
D23,218.28125,-183.35625,bottom,90
D24,227.80625,-202.40625,bottom,90
D25,232.56875,-222.25,bottom,90
D26,223.04375,-240.50625,bottom,90
D27,371.475,-259.55625,bottom,90
D28,237.33125,-183.35625,bottom,90
D29,246.85625,-202.40625,bottom,90
D30,235.74375,-222.25,bottom,90
D31,242.09375,-240.50625,bottom,90
D32,152.4,-192.0875,bottom,90
D33,256.38125,-183.35625,bottom,90
D34,265.90625,-202.40625,bottom,90
D35,272.25625,-221.45625,bottom,90
D36,261.14375,-240.50625,bottom,90
D37,408.78125,-183.35625,bottom,90
D38,275.43125,-183.35625,bottom,90
D39,284.95625,-202.40625,bottom,90
D40,289.71875,-221.45625,bottom,90
D41,280.19375,-240.50625,bottom,90
D42,288.13125,-259.55625,bottom,90
D43,411.95625,-203.2,bottom,90
D44,294.48125,-183.35625,bottom,90
D45,304.00625,-202.40625,bottom,90
D46,308.76875,-221.45625,bottom,90
D47,299.24375,-240.50625,bottom,90
D48,411.95625,-222.25,bottom,90
D49,313.53125,-183.35625,bottom,90
D50,323.05625,-202.40625,bottom,90
D51,327.81875,-221.45625,bottom,90
D52,318.29375,-240.50625,bottom,90
D53,411.95625,-241.3,bottom,90
D54,332.58125,-183.35625,bottom,90
D55,342.10625,-202.40625,bottom,90
D56,346.86875,-221.45625,bottom,90
D57,337.34375,-240.50625,bottom,90
D58,406.4,-254,bottom,90
D59,351.63125,-183.35625,bottom,90
D60,361.15625,-203.2,bottom,90
D61,365.91875,-222.25,bottom,90
D62,356.39375,-240.50625,bottom,90
D63,368.3,-259.55625,bottom,90
D65,370.68125,-183.35625,bottom,90
D66,364.33125,-203.2,bottom,90
D67,408.78125,-241.3,bottom,90
D70,389.73125,-184.15,bottom,90
D71,384.96875,-221.45625,bottom,90
D72,369.09375,-222.25,bottom,90
D74,409.575,-254,bottom,90
F1,149.225,-192.0875,bottom,270
L1,149.987,-176.784,bottom,270
R1,213.64575,-256.38125,bottom,90
R2,134.874,-177.546,bottom,90
R3,211.709,-256.38125,bottom,90
R4,240.0935,-253.52375,bottom,90
R5,237.4392,-262.7376,bottom,0
R6,136.779,-177.546,bottom,90
SW1,253.20625,-257.96875,bottom,180
U1,232.679,-256.87425,bottom,90
U2,144.018,-189.103,bottom,180
USB1,143.1925,-170.9674,bottom,0
Y1,224.7265,-257.14325,bottom,270
